id_obra,id_artista_0,id_artista_1,id_artista_2,nombre_obra,tecnica,medidas,foto,video,url
1,1,,,Elevaciones,Instalación interactiva,variables,,,
2,1,,,Propagaciones,Instalación interactiva,variables,,,
3,1,,,Tecnología Led,Instalación interactiva,variables,,,
4,1,,,Modelo de incertidumbre térmica,Instalación interactiva,variables,,,
5,1,,,Rostros,Instalación interactiva,variables,,,
6,1,,,Dispersiones,Instalación interactiva,variables,,,
7,1,,,Game of life,Instalación interactiva,variables,,,
8,1,,,Entes indóciles,Instalación interactiva,variables,,,
9,1,,,Espacio cambiario,Instalación interactiva,variables,,,
10,1,,,Dispersiones 2.0,Instalación interactiva,variables,,,
11,1,,,Fluídos,Instalación interactiva,variables,,,
12,1,,,Desiluciones ópticas,Instalación interactiva,variables,,,
13,2,,,Efecto mariposa,Instalación interactiva,variables,,,
14,95,,,Hysterical Machines,Instalación robótica,variables,,,
15,95,,,Mega Histerical Machine,Instalación robótica,variables,,,
16,96,,,Hidrófono espacial de electrones,Instalación ,variables,,,
17,101,,,Intuiciones numéricas,Instalación interactiva,,,,
18,97,89,,Eisenia,Instalación interactiva,,,,
19,98,,,Huerta hipermedial,Instalación interactiva,,,,
20,100,101,,Tríada,Instalación interactiva,,,,
